name,url,cr,type,size,ac,hp,align,legendary,source,release_date,str,dex,con,int,wis,cha,fly_speed,swim_speed,type_grouped,align_grouped,source_grouped
adult-red-dragon,https://www.aidedd.org/dnd/monstres.php?vo=adult-red-dragon,17.0,dragon,Huge,19,256,chaotic evil,1,Monster Manual (SRD),12/01/2016,27.0,10.0,25.0,16.0,13.0,21.0,1,0,dragon,Evil,Monster Manual (SRD)
adult-silver-dragon,https://www.aidedd.org/dnd/monstres.php?vo=adult-silver-dragon,16.0,dragon,Huge,19,243,lawful good,1,Monster Manual (SRD),12/01/2016,27.0,10.0,25.0,16.0,13.0,21.0,1,0,dragon,Good,Monster Manual (SRD)
adult-white-dragon,https://www.aidedd.org/dnd/monstres.php?vo=adult-white-dragon,13.0,dragon,Huge,18,200,chaotic evil,1,Monster Manual (SRD),12/01/2016,22.0,10.0,22.0,8.0,12.0,12.0,1,1,dragon,Evil,Monster Manual (SRD)
air-elemental,https://www.aidedd.org/dnd/monstres.php?vo=air-elemental,5.0,elemental,Large,15,90,neutral,0,Monster Manual (SRD),12/01/2016,14.0,20.0,14.0,6.0,10.0,6.0,1,0,elemental,Neutral,Monster Manual (SRD)
air-elemental-myrmidon,,7.0,elemental,Medium,18,117,neutral,0,Mordenkainen's Tome of Foes,29/05/2018,18.0,14.0,14.0,9.0,10.0,10.0,1,0,elemental,Neutral,Mordenkainen's Tome of Foes
albino-dwarf-warrior,,0.25,humanoid (dwarf),Medium,13,30,any alignment,0,Adventures (Tomb of Annihilation),19/09/2017,13.0,13.0,17.0,12.0,14.0,11.0,0,0,humanoid,Neutral,Adventures
aldani,,1.0,monstrosity,Medium,14,49,lawful neutral,0,Adventures (Tomb of Annihilation),19/09/2017,13.0,8.0,12.0,10.0,14.0,10.0,0,1,monstrosity,Neutral,Adventures
alhoon,,10.0,undead,Medium,15,120,any evil alignment,0,Volo's Guide to Monsters,15/11/2016,11.0,12.0,16.0,19.0,17.0,17.0,0,0,undead,Evil,Volo's Guide to Monsters
alkilith,,11.0,fiend (demon),Medium,17,157,chaotic evil,0,Mordenkainen's Tome of Foes,29/05/2018,12.0,19.0,22.0,6.0,11.0,7.0,0,0,fiend,Evil,Mordenkainen's Tome of Foes
allip,,5.0,undead,Medium,13,40,neutral evil,0,Mordenkainen's Tome of Foes,29/05/2018,6.0,17.0,10.0,17.0,15.0,16.0,1,0,undead,Evil,Mordenkainen's Tome of Foes
allosaurus,https://www.aidedd.org/dnd/monstres.php?vo=allosaurus,2.0,beast,Large,13,51,unaligned,0,Monster Manual (SRD),12/01/2016,19.0,13.0,17.0,2.0,12.0,5.0,0,0,beast,Unaligned,Monster Manual (SRD)
ambush-drake,,0.5,dragon,Medium,13,22,unaligned,0,Adventures (Tyranny of Dragons),19/08/2014,13.0,15.0,14.0,4.0,11.0,6.0,0,0,dragon,Unaligned,Adventures
amnizu,,18.0,fiend (devil),Medium,21,202,lawful evil,0,Mordenkainen's Tome of Foes,29/05/2018,11.0,13.0,16.0,20.0,12.0,18.0,1,0,fiend,Evil,Mordenkainen's Tome of Foes
ancient-black-dragon,https://www.aidedd.org/dnd/monstres.php?vo=ancient-black-dragon,21.0,dragon,Gargantuan,22,367,chaotic evil,1,Monster Manual (SRD),12/01/2016,27.0,14.0,25.0,16.0,15.0,19.0,1,1,dragon,Evil,Monster Manual (SRD)
ancient-blue-dragon,https://www.aidedd.org/dnd/monstres.php?vo=ancient-blue-dragon,23.0,dragon,Gargantuan,22,481,lawful evil,1,Monster Manual (SRD),12/01/2016,29.0,10.0,27.0,18.0,17.0,21.0,1,0,dragon,Evil,Monster Manual (SRD)
ancient-brass-dragon,https://www.aidedd.org/dnd/monstres.php?vo=ancient-brass-dragon,20.0,dragon,Gargantuan,20,297,chaotic good,1,Monster Manual (SRD),12/01/2016,27.0,10.0,25.0,16.0,15.0,19.0,1,0,dragon,Good,Monster Manual (SRD)
ancient-bronze-dragon,https://www.aidedd.org/dnd/monstres.php?vo=ancient-bronze-dragon,22.0,dragon,Gargantuan,22,444,lawful good,1,Monster Manual (SRD),12/01/2016,29.0,10.0,27.0,18.0,17.0,21.0,1,1,dragon,Good,Monster Manual (SRD)
ancient-copper-dragon,https://www.aidedd.org/dnd/monstres.php?vo=ancient-copper-dragon,21.0,dragon,Gargantuan,21,350,chaotic good,1,Monster Manual (SRD),12/01/2016,27.0,12.0,25.0,20.0,17.0,19.0,1,0,dragon,Good,Monster Manual (SRD)
ancient-gold-dragon,https://www.aidedd.org/dnd/monstres.php?vo=ancient-gold-dragon,24.0,dragon,Gargantuan,22,546,lawful good,1,Monster Manual (SRD),12/01/2016,30.0,14.0,29.0,18.0,17.0,28.0,1,1,dragon,Good,Monster Manual (SRD)
ancient-green-dragon,https://www.aidedd.org/dnd/monstres.php?vo=ancient-green-dragon,22.0,dragon,Gargantuan,21,385,lawful evil,1,Monster Manual (SRD),12/01/2016,27.0,12.0,25.0,20.0,17.0,19.0,1,1,dragon,Evil,Monster Manual (SRD)
ancient-red-dragon,https://www.aidedd.org/dnd/monstres.php?vo=ancient-red-dragon,24.0,dragon,Gargantuan,22,546,chaotic evil,1,Monster Manual (SRD),12/01/2016,30.0,10.0,29.0,18.0,15.0,23.0,1,0,dragon,Evil,Monster Manual (SRD)
ancient-shadow,https://www.aidedd.org/dnd/monstres.php?vo=ancient-shadow,1.0,undead,Medium,13,32,chaotic evil,0,Extra (AideDD),,6.0,16.0,14.0,6.0,10.0,8.0,0,0,undead,Evil,Extra
ancient-silver-dragon,https://www.aidedd.org/dnd/monstres.php?vo=ancient-silver-dragon,23.0,dragon,Gargantuan,22,487,lawful good,1,Monster Manual (SRD),12/01/2016,30.0,10.0,29.0,18.0,15.0,23.0,1,0,dragon,Good,Monster Manual (SRD)
ancient-white-dragon,https://www.aidedd.org/dnd/monstres.php?vo=ancient-white-dragon,20.0,dragon,Gargantuan,20,333,chaotic evil,1,Monster Manual (SRD),12/01/2016,26.0,10.0,26.0,10.0,13.0,14.0,1,1,dragon,Evil,Monster Manual (SRD)
androsphinx,https://www.aidedd.org/dnd/monstres.php?vo=androsphinx,17.0,monstrosity,Large,17,199,lawful neutral,1,Monster Manual (SRD),12/01/2016,22.0,10.0,20.0,16.0,18.0,23.0,1,0,monstrosity,Neutral,Monster Manual (SRD)
animated-armor,https://www.aidedd.org/dnd/monstres.php?vo=animated-armor,1.0,construct,Medium,18,33,unaligned,0,Monster Manual (SRD),12/01/2016,14.0,11.0,13.0,1.0,3.0,1.0,0,0,construct,Unaligned,Monster Manual (SRD)
ankheg,https://www.aidedd.org/dnd/monstres.php?vo=ankheg,2.0,monstrosity,Large,14,39,unaligned,0,Monster Manual (SRD),12/01/2016,17.0,11.0,13.0,1.0,13.0,6.0,0,0,monstrosity,Unaligned,Monster Manual (SRD)
ankylosaurus,https://www.aidedd.org/dnd/monstres.php?vo=ankylosaurus,3.0,beast,Huge,15,68,unaligned,0,Monster Manual (SRD),12/01/2016,19.0,11.0,15.0,2.0,12.0,5.0,0,0,beast,Unaligned,Monster Manual (SRD)
annis-hag,https://www.aidedd.org/dnd/monstres.php?vo=annis-hag,6.0,fey,Large,17,75,chaotic evil,0,Volo's Guide to Monsters,15/11/2016,21.0,12.0,14.0,13.0,14.0,15.0,0,0,fey,Evil,Volo's Guide to Monsters
ape,https://www.aidedd.org/dnd/monstres.php?vo=ape,0.5,beast,Medium,12,19,unaligned,0,Monster Manual (SRD),12/01/2016,16.0,14.0,14.0,6.0,12.0,7.0,0,0,beast,Unaligned,Monster Manual (SRD)
apprentice-wizard,,0.25,humanoid (any race),Medium,10,9,any alignment,0,Volo's Guide to Monsters,15/11/2016,10.0,10.0,10.0,14.0,10.0,11.0,0,0,humanoid,Neutral,Volo's Guide to Monsters
arcanaloth,,12.0,fiend (yugoloth),Medium,17,104,neutral evil,0,Monster Manual,30/09/2014,17.0,12.0,14.0,20.0,16.0,17.0,1,0,fiend,Evil,Monster Manual
archdruid,,12.0,humanoid (any race),Medium,16,132,any alignment,0,Volo's Guide to Monsters,15/11/2016,10.0,14.0,12.0,12.0,20.0,11.0,0,0,humanoid,Neutral,Volo's Guide to Monsters
archer,,3.0,humanoid (any race),Medium,16,75,any alignment,0,Volo's Guide to Monsters,15/11/2016,11.0,18.0,16.0,11.0,13.0,10.0,0,0,humanoid,Neutral,Volo's Guide to Monsters
archmage,https://www.aidedd.org/dnd/monstres.php?vo=archmage,12.0,humanoid (any race),Medium,12,99,any alignment,0,Monster Manual (SRD),12/01/2016,10.0,14.0,12.0,20.0,15.0,16.0,0,0,humanoid,Neutral,Monster Manual (SRD)
armanite,,7.0,fiend (demon),Large,16,84,chaotic evil,0,Mordenkainen's Tome of Foes,29/05/2018,21.0,18.0,21.0,8.0,12.0,13.0,0,0,fiend,Evil,Mordenkainen's Tome of Foes
assassin,https://www.aidedd.org/dnd/monstres.php?vo=assassin,8.0,humanoid (any race),Medium,15,78,any non-good alignment,0,Monster Manual (SRD),12/01/2016,11.0,16.0,14.0,13.0,11.0,10.0,0,0,humanoid,Good,Monster Manual (SRD)
assassin-vine,,3.0,plant,Large,13,85,unaligned,0,Adventures (Tomb of Annihilation),19/09/2017,18.0,10.0,16.0,1.0,10.0,1.0,0,0,plant,Unaligned,Adventures
astral-dreadnought,https://www.aidedd.org/dnd/monstres.php?vo=astral-dreadnought,21.0,monstrosity (titan),Gargantuan,20,297,unaligned,1,Mordenkainen's Tome of Foes,29/05/2018,28.0,7.0,25.0,5.0,14.0,18.0,1,0,monstrosity,Unaligned,Mordenkainen's Tome of Foes
atropal,,13.0,undead (titan),Huge,7,225,neutral evil,0,Adventures (Tomb of Annihilation),19/09/2017,19.0,5.0,22.0,25.0,19.0,24.0,1,0,undead,Evil,Adventures
aurochs,https://www.aidedd.org/dnd/monstres.php?vo=aurochs,2.0,beast,Large,11,38,unaligned,0,Volo's Guide to Monsters,15/11/2016,20.0,10.0,19.0,2.0,12.0,5.0,0,0,beast,Unaligned,Volo's Guide to Monsters
autumn-eladrin,,10.0,fey (elf),Medium,19,127,chaotic neutral,0,Mordenkainen's Tome of Foes,29/05/2018,12.0,16.0,16.0,14.0,17.0,18.0,0,0,fey,Neutral,Mordenkainen's Tome of Foes
awakened-shrub,https://www.aidedd.org/dnd/monstres.php?vo=awakened-shrub,0.0,plant,Small,9,10,unaligned,0,Monster Manual (SRD),12/01/2016,3.0,8.0,11.0,10.0,10.0,6.0,0,0,plant,Unaligned,Monster Manual (SRD)
awakened-tree,https://www.aidedd.org/dnd/monstres.php?vo=awakened-tree,2.0,plant,Huge,13,59,unaligned,0,Monster Manual (SRD),12/01/2016,19.0,6.0,15.0,10.0,10.0,7.0,0,0,plant,Unaligned,Monster Manual (SRD)
axe-beak,https://www.aidedd.org/dnd/monstres.php?vo=axe-beak,0.25,beast,Large,11,19,unaligned,0,Monster Manual (SRD),12/01/2016,14.0,12.0,12.0,2.0,10.0,5.0,0,0,beast,Unaligned,Monster Manual (SRD)
azer,https://www.aidedd.org/dnd/monstres.php?vo=azer,2.0,elemental,Medium,17,39,lawful neutral,0,Monster Manual (SRD),12/01/2016,17.0,12.0,15.0,12.0,13.0,10.0,0,0,elemental,Neutral,Monster Manual (SRD)
babau,,4.0,fiend (demon),Medium,16,82,chaotic evil,0,Volo's Guide to Monsters,15/11/2016,19.0,16.0,16.0,11.0,12.0,13.0,0,0,fiend,Evil,Volo's Guide to Monsters
baboon,https://www.aidedd.org/dnd/monstres.php?vo=baboon,0.0,beast,Small,12,3,unaligned,0,Monster Manual (SRD),12/01/2016,8.0,14.0,11.0,4.0,12.0,6.0,0,0,beast,Unaligned,Monster Manual (SRD)
badger,https://www.aidedd.org/dnd/monstres.php?vo=badger,0.0,beast,Tiny,10,3,unaligned,0,Monster Manual (SRD),12/01/2016,4.0,11.0,12.0,2.0,12.0,5.0,0,0,beast,Unaligned,Monster Manual (SRD)
bael,,19.0,fiend (devil),Large,18,189,lawful evil,0,Mordenkainen's Tome of Foes,29/05/2018,24.0,17.0,20.0,21.0,24.0,24.0,0,0,fiend,Evil,Mordenkainen's Tome of Foes
balhannoth,,11.0,aberration,Large,17,114,chaotic evil,0,Mordenkainen's Tome of Foes,29/05/2018,17.0,8.0,18.0,6.0,15.0,8.0,0,0,aberration,Evil,Mordenkainen's Tome of Foes
balor,https://www.aidedd.org/dnd/monstres.php?vo=balor,19.0,fiend (demon),Huge,19,262,chaotic evil,0,Monster Manual (SRD),12/01/2016,26.0,15.0,22.0,20.0,16.0,22.0,1,0,fiend,Evil,Monster Manual (SRD)
banderhobb,,5.0,monstrosity,Large,15,84,neutral evil,0,Volo's Guide to Monsters,15/11/2016,20.0,12.0,20.0,11.0,14.0,8.0,0,0,monstrosity,Evil,Volo's Guide to Monsters
bandit,https://www.aidedd.org/dnd/monstres.php?vo=bandit,0.125,humanoid (any race),Medium,12,11,any non-lawful alignment,0,Monster Manual (SRD),12/01/2016,11.0,12.0,12.0,10.0,10.0,10.0,0,0,humanoid,Neutral,Monster Manual (SRD)
bandit-captain,https://www.aidedd.org/dnd/monstres.php?vo=bandit-captain,2.0,humanoid (any race),Medium,15,65,any non-lawful alignment,0,Monster Manual (SRD),12/01/2016,15.0,16.0,14.0,14.0,11.0,14.0,0,0,humanoid,Neutral,Monster Manual (SRD)
banshee,https://www.aidedd.org/dnd/monstres.php?vo=banshee,4.0,undead,Medium,12,58,chaotic evil,0,Monster Manual (SRD),12/01/2016,1.0,14.0,10.0,12.0,11.0,17.0,1,0,undead,Evil,Monster Manual (SRD)
baphomet,,23.0,fiend (demon),Huge,22,275,chaotic evil,0,Mordenkainen's Tome of Foes,29/05/2018,30.0,14.0,26.0,18.0,24.0,16.0,0,0,fiend,Evil,Mordenkainen's Tome of Foes
barbed-devil,https://www.aidedd.org/dnd/monstres.php?vo=barbed-devil,5.0,fiend (devil),Medium,15,110,lawful evil,0,Monster Manual (SRD),12/01/2016,16.0,17.0,18.0,12.0,14.0,14.0,0,0,fiend,Evil,Monster Manual (SRD)
bard,,2.0,humanoid (any race),Medium,15,44,any alignment,0,Volo's Guide to Monsters,15/11/2016,11.0,14.0,12.0,10.0,13.0,14.0,0,0,humanoid,Neutral,Volo's Guide to Monsters
barghest,https://www.aidedd.org/dnd/monstres.php?vo=barghest,4.0,fiend (shapechanger),Large,17,90,neutral evil,0,Volo's Guide to Monsters,15/11/2016,19.0,15.0,14.0,13.0,12.0,14.0,0,0,fiend,Evil,Volo's Guide to Monsters
barlgura,https://www.aidedd.org/dnd/monstres.php?vo=barlgura,5.0,fiend (demon),Large,15,68,chaotic evil,0,Monster Manual (BR),03/07/2014,18.0,15.0,16.0,7.0,14.0,9.0,0,0,fiend,Evil,Monster Manual (BR)
basilisk,https://www.aidedd.org/dnd/monstres.php?vo=basilisk,3.0,monstrosity,Medium,15,52,unaligned,0,Monster Manual (SRD),12/01/2016,16.0,8.0,15.0,2.0,8.0,7.0,0,0,monstrosity,Unaligned,Monster Manual (SRD)
bat,https://www.aidedd.org/dnd/monstres.php?vo=bat,0.0,beast,Tiny,12,1,unaligned,0,Monster Manual (SRD),12/01/2016,2.0,15.0,8.0,2.0,12.0,4.0,1,0,beast,Unaligned,Monster Manual (SRD)
bearded-devil,https://www.aidedd.org/dnd/monstres.php?vo=bearded-devil,3.0,fiend (devil),Medium,13,52,lawful evil,0,Monster Manual (SRD),12/01/2016,16.0,15.0,15.0,9.0,11.0,11.0,0,0,fiend,Evil,Monster Manual (SRD)
behir,https://www.aidedd.org/dnd/monstres.php?vo=behir,11.0,monstrosity,Huge,17,168,neutral evil,0,Monster Manual (SRD),12/01/2016,23.0,16.0,18.0,7.0,14.0,12.0,0,0,monstrosity,Evil,Monster Manual (SRD)
beholder,,13.0,aberration,Large,18,180,lawful evil,1,Monster Manual,30/09/2014,10.0,14.0,18.0,17.0,15.0,17.0,1,0,aberration,Evil,Monster Manual
beholder-zombie,,5.0,undead,Large,15,93,neutral evil,0,Monster Manual,30/09/2014,10.0,8.0,16.0,3.0,8.0,5.0,1,0,undead,Evil,Monster Manual
belaphoss,https://www.aidedd.org/dnd/monstres.php?vo=belaphoss,20.0,fiend (demon),Huge,19,262,chaotic evil,0,Extra (Dragon Mag),,26.0,15.0,22.0,20.0,16.0,22.0,1,0,fiend,Evil,Extra
berbalang,,2.0,aberration,Medium,14,38,neutral evil,0,Mordenkainen's Tome of Foes,29/05/2018,9.0,16.0,9.0,17.0,11.0,10.0,1,0,aberration,Evil,Mordenkainen's Tome of Foes
berserker,https://www.aidedd.org/dnd/monstres.php?vo=berserker,2.0,humanoid (any race),Medium,13,67,any chaotic alignment,0,Monster Manual (SRD),12/01/2016,16.0,12.0,17.0,9.0,11.0,9.0,0,0,humanoid,Neutral,Monster Manual (SRD)
bheur-hag,,7.0,fey,Medium,17,91,chaotic evil,0,Volo's Guide to Monsters,15/11/2016,13.0,16.0,14.0,12.0,13.0,16.0,0,0,fey,Evil,Volo's Guide to Monsters
black-abishai,,7.0,fiend (devil),Medium,15,58,lawful evil,0,Mordenkainen's Tome of Foes,29/05/2018,14.0,17.0,14.0,13.0,16.0,11.0,1,0,fiend,Evil,Mordenkainen's Tome of Foes
black-bear,https://www.aidedd.org/dnd/monstres.php?vo=black-bear,0.5,beast,Medium,11,19,unaligned,0,Monster Manual (SRD),12/01/2016,15.0,10.0,14.0,2.0,12.0,7.0,0,0,beast,Unaligned,Monster Manual (SRD)
black-dragon-wyrmling,https://www.aidedd.org/dnd/monstres.php?vo=black-dragon-wyrmling,2.0,dragon,Medium,17,33,chaotic evil,0,Monster Manual (SRD),12/01/2016,15.0,14.0,13.0,10.0,11.0,13.0,1,1,dragon,Evil,Monster Manual (SRD)
black-gauntlet-of-bane,,6.0,humanoid (human),Medium,16,51,lawful evil,0,Adventures (Descent into Avernus),17/09/2019,18.0,11.0,18.0,12.0,15.0,18.0,0,0,humanoid,Evil,Adventures
black-pudding,https://www.aidedd.org/dnd/monstres.php?vo=black-pudding,4.0,ooze,Large,7,85,unaligned,0,Monster Manual (SRD),12/01/2016,16.0,5.0,16.0,1.0,6.0,1.0,0,0,ooze,Unaligned,Monster Manual (SRD)
blackguard,,8.0,humanoid (any race),Medium,18,153,any non-good alignment,0,Volo's Guide to Monsters,15/11/2016,18.0,11.0,18.0,11.0,14.0,15.0,0,0,humanoid,Good,Volo's Guide to Monsters
blink-dog,https://www.aidedd.org/dnd/monstres.php?vo=blink-dog,0.25,fey,Medium,13,22,lawful good,0,Monster Manual (SRD),12/01/2016,12.0,17.0,12.0,10.0,13.0,11.0,0,0,fey,Good,Monster Manual (SRD)
blood-hawk,https://www.aidedd.org/dnd/monstres.php?vo=blood-hawk,0.125,beast,Small,12,7,unaligned,0,Monster Manual (SRD),12/01/2016,6.0,14.0,10.0,3.0,14.0,5.0,1,0,beast,Unaligned,Monster Manual (SRD)
blue-abishai,,17.0,fiend (devil),Medium,19,195,lawful evil,0,Mordenkainen's Tome of Foes,29/05/2018,15.0,14.0,17.0,22.0,23.0,18.0,1,0,fiend,Evil,Mordenkainen's Tome of Foes
blue-dragon-wyrmling,https://www.aidedd.org/dnd/monstres.php?vo=blue-dragon-wyrmling,3.0,dragon,Medium,17,52,lawful evil,0,Monster Manual (SRD),12/01/2016,17.0,10.0,15.0,12.0,11.0,15.0,1,0,dragon,Evil,Monster Manual (SRD)
blue-slaad,,7.0,aberration,Large,15,123,chaotic neutral,0,Monster Manual,30/09/2014,20.0,15.0,18.0,7.0,7.0,9.0,0,0,aberration,Neutral,Monster Manual
boar,https://www.aidedd.org/dnd/monstres.php?vo=boar,0.25,beast,Medium,11,11,unaligned,0,Monster Manual (SRD),12/01/2016,13.0,11.0,12.0,2.0,9.0,5.0,0,0,beast,Unaligned,Monster Manual (SRD)
bodak,,6.0,undead,Medium,15,58,chaotic evil,0,Volo's Guide to Monsters,15/11/2016,15.0,16.0,15.0,7.0,12.0,12.0,0,0,undead,Evil,Volo's Guide to Monsters
boggle,,0.125,fey,Small,14,18,chaotic neutral,0,Volo's Guide to Monsters,15/11/2016,8.0,18.0,13.0,6.0,12.0,7.0,0,0,fey,Neutral,Volo's Guide to Monsters
bone-devil,https://www.aidedd.org/dnd/monstres.php?vo=bone-devil,9.0,fiend (devil),Large,19,142,lawful evil,0,Monster Manual (SRD),12/01/2016,18.0,16.0,18.0,13.0,14.0,16.0,1,0,fiend,Evil,Monster Manual (SRD)
bone-naga,,4.0,undead,Large,15,58,lawful evil,0,Monster Manual,30/09/2014,15.0,16.0,12.0,15.0,15.0,16.0,0,0,undead,Evil,Monster Manual
boneclaw,,12.0,undead,Large,16,127,chaotic evil,0,Mordenkainen's Tome of Foes,29/05/2018,19.0,16.0,15.0,13.0,15.0,9.0,0,0,undead,Evil,Mordenkainen's Tome of Foes
brass-dragon-wyrmling,https://www.aidedd.org/dnd/monstres.php?vo=brass-dragon-wyrmling,1.0,dragon,Medium,16,16,chaotic good,0,Monster Manual (SRD),12/01/2016,15.0,10.0,13.0,10.0,11.0,13.0,1,0,dragon,Good,Monster Manual (SRD)
brontosaurus,,5.0,beast,Gargantuan,15,121,unaligned,0,Adventures (Tomb of Annihilation),19/09/2017,21.0,9.0,17.0,2.0,10.0,7.0,0,0,beast,Unaligned,Adventures
bronze-dragon-wyrmling,https://www.aidedd.org/dnd/monstres.php?vo=bronze-dragon-wyrmling,2.0,dragon,Medium,17,32,lawful good,0,Monster Manual (SRD),12/01/2016,17.0,10.0,15.0,12.0,11.0,15.0,1,1,dragon,Good,Monster Manual (SRD)
brown-bear,https://www.aidedd.org/dnd/monstres.php?vo=brown-bear,1.0,beast,Large,11,34,unaligned,0,Monster Manual (SRD),12/01/2016,19.0,10.0,16.0,2.0,13.0,7.0,0,0,beast,Unaligned,Monster Manual (SRD)
bugbear,https://www.aidedd.org/dnd/monstres.php?vo=bugbear,1.0,humanoid (goblinoid),Medium,16,27,chaotic evil,0,Monster Manual (SRD),12/01/2016,15.0,14.0,13.0,8.0,11.0,9.0,0,0,humanoid,Evil,Monster Manual (SRD)
bugbear-chief,,3.0,humanoid (goblinoid),Medium,17,65,chaotic evil,0,Monster Manual,30/09/2014,17.0,14.0,14.0,11.0,12.0,11.0,0,0,humanoid,Evil,Monster Manual
bulette,https://www.aidedd.org/dnd/monstres.php?vo=bulette,5.0,monstrosity,Large,17,94,unaligned,0,Monster Manual (SRD),12/01/2016,19.0,11.0,21.0,2.0,10.0,5.0,0,0,monstrosity,Unaligned,Monster Manual (SRD)
bulezau,,3.0,fiend (demon),Medium,14,52,chaotic evil,0,Mordenkainen's Tome of Foes,29/05/2018,15.0,14.0,17.0,8.0,9.0,6.0,0,0,fiend,Evil,Mordenkainen's Tome of Foes
bullywug,https://www.aidedd.org/dnd/monstres.php?vo=bullywug,0.25,humanoid (bullywug),Medium,15,11,neutral evil,0,Monster Manual (BR),03/07/2014,12.0,12.0,13.0,7.0,10.0,7.0,0,1,humanoid,Evil,Monster Manual (BR)
cadaver-collector,,14.0,construct,Large,17,189,lawful evil,0,Mordenkainen's Tome of Foes,29/05/2018,21.0,14.0,20.0,5.0,11.0,8.0,0,0,construct,Evil,Mordenkainen's Tome of Foes
cambion,,5.0,fiend,Medium,19,82,any evil alignment,0,Monster Manual,30/09/2014,18.0,18.0,16.0,14.0,12.0,16.0,1,0,fiend,Evil,Monster Manual
camel,https://www.aidedd.org/dnd/monstres.php?vo=camel,0.125,beast,Large,9,15,unaligned,0,Monster Manual (SRD),12/01/2016,16.0,8.0,14.0,2.0,8.0,5.0,0,0,beast,Unaligned,Monster Manual (SRD)
canoloth,,8.0,fiend (yugoloth),Medium,16,120,neutral evil,0,Mordenkainen's Tome of Foes,29/05/2018,18.0,10.0,17.0,5.0,17.0,12.0,0,0,fiend,Evil,Mordenkainen's Tome of Foes
